sep=;
Name;Exp.;Bid;Ask;Last;High;Low;Open Interest;Volume;Contract Size;Strike
OMXS306L1280;2026-12-18;;;"1,655.00";;;;;100;"1,280.00"
OMXS306L2440;2026-12-18;;;728.75;;;6;;100;"2,440.00"
OMXS306L2500;2026-12-18;;;533.50;;;1;;100;"2,500.00"
OMXS306L2700;2026-12-18;;;523.50;;;2;;100;"2,700.00"
OMXS306L2760;2026-12-18;;;485.00;;;4;;100;"2,760.00"
OMXS306L2120;2026-12-18;;;480.00;;;"1,400";;100;"2,120.00"
OMXS306L2560;2026-12-18;;;478.00;;;1;;100;"2,560.00"
OMXS306L2720;2026-12-18;;;467.00;;;1;;100;"2,720.00"
OMXS306L2600;2026-12-18;;;463.00;;;"2,720";;100;"2,600.00"
OMXS306L2800;2026-12-18;;;401.50;;;5;;100;"2,800.00"
OMXS306L2840;2026-12-18;;;379.75;;;5;;100;"2,840.00"
OMXS306L2580;2026-12-18;;;344.75;;;60;;100;"2,580.00"
OMXS306L2320;2026-12-18;;;341.00;;;"3,250";;100;"2,320.00"
OMXS306L2880;2026-12-18;;;317.25;;;2;;100;"2,880.00"
OMXS306L2920;2026-12-18;;;310.50;;;;;100;"2,920.00"
OMXS306L2940;2026-12-18;;;294.50;;;;;100;"2,940.00"
OMXS306L3000;2026-12-18;;;269.50;;;"3,520";;100;"3,000.00"
OMXS306L2680;2026-12-18;;;260.50;;;45;;100;"2,680.00"
OMXS306L2900;2026-12-18;;;257.19;;;28;;100;"2,900.00"
OMXS306L2960;2026-12-18;;;204.75;;;6;;100;"2,960.00"
OMXS306L3120;2026-12-18;;;180.00;;;21;;100;"3,120.00"
OMXS306L3060;2026-12-18;;;174.50;174.50;174.50;8;7;100;"3,060.00"
OMXS306L3100;2026-12-18;;;147.00;;;"1,008";;100;"3,100.00"
OMXS306L3240;2026-12-18;;;126.50;;;10;;100;"3,240.00"
OMXS306L3200;2026-12-18;;;121.25;;;784;;100;"3,200.00"
OMXS306L3180;2026-12-18;;;90.25;;;39;;100;"3,180.00"
OMXS306L3300;2026-12-18;;;84.25;;;444;;100;"3,300.00"
OMXS306L3420;2026-12-18;;;72.50;;;7;;100;"3,420.00"
OMXS306L3360;2026-12-18;;;59.00;;;16;;100;"3,360.00"
OMXS306L3440;2026-12-18;;;54.00;;;2;;100;"3,440.00"
OMXS306L3400;2026-12-18;;;50.00;;;310;;100;"3,400.00"
OMXS306L3540;2026-12-18;;;34.25;;;;;100;"3,540.00"
OMXS306L3500;2026-12-18;;;29.00;;;129;;100;"3,500.00"
OMXS306L3600;2026-12-18;;;27.50;;;11;;100;"3,600.00"
OMXS306L3840;2026-12-18;;;7.80;;;20;;100;"3,840.00"
OMXS306L3720;2026-12-18;;;6.25;;;17;;100;"3,720.00"
OMXS306L1320;2026-12-18;;;;;;;;100;"1,320.00"
OMXS306L1360;2026-12-18;;;;;;;;100;"1,360.00"
OMXS306L1400;2026-12-18;;;;;;;;100;"1,400.00"
OMXS306L1440;2026-12-18;;;;;;;;100;"1,440.00"
OMXS306L1480;2026-12-18;;;;;;;;100;"1,480.00"
OMXS306L1500;2026-12-18;;;;;;;;100;"1,500.00"
OMXS306L1520;2026-12-18;;;;;;;;100;"1,520.00"
OMXS306L1560;2026-12-18;;;;;;;;100;"1,560.00"
OMXS306L1600;2026-12-18;;;;;;;;100;"1,600.00"
OMXS306L1640;2026-12-18;;;;;;;;100;"1,640.00"
OMXS306L1680;2026-12-18;;;;;;;;100;"1,680.00"
OMXS306L1700;2026-12-18;;;;;;;;100;"1,700.00"
OMXS306L1720;2026-12-18;;;;;;;;100;"1,720.00"
OMXS306L1760;2026-12-18;;;;;;;;100;"1,760.00"
OMXS306L1800;2026-12-18;;;;;;;;100;"1,800.00"
OMXS306L1840;2026-12-18;;;;;;;;100;"1,840.00"
OMXS306L1880;2026-12-18;;;;;;;;100;"1,880.00"
OMXS306L1900;2026-12-18;;;;;;;;100;"1,900.00"
OMXS306L1920;2026-12-18;;;;;;;;100;"1,920.00"
OMXS306L1960;2026-12-18;;;;;;;;100;"1,960.00"
OMXS306L2000;2026-12-18;;;;;;;;100;"2,000.00"
OMXS306L2040;2026-12-18;;;;;;;;100;"2,040.00"
OMXS306L2080;2026-12-18;;;;;;600;;100;"2,080.00"
OMXS306L2100;2026-12-18;;;;;;;;100;"2,100.00"
OMXS306L2160;2026-12-18;;;;;;;;100;"2,160.00"
OMXS306L2200;2026-12-18;;;;;;;;100;"2,200.00"
OMXS306L2220;2026-12-18;;;;;;;;100;"2,220.00"
OMXS306L2240;2026-12-18;;;;;;"6,750";;100;"2,240.00"
OMXS306L2280;2026-12-18;;;;;;;;100;"2,280.00"
OMXS306L2300;2026-12-18;;;;;;;;100;"2,300.00"
OMXS306L2340;2026-12-18;;;;;;;;100;"2,340.00"
OMXS306L2360;2026-12-18;;;;;;"1,000";;100;"2,360.00"
OMXS306L2400;2026-12-18;;;;;;;;100;"2,400.00"
OMXS306L2460;2026-12-18;;;;;;;;100;"2,460.00"
OMXS306L2480;2026-12-18;;;;;;;;100;"2,480.00"
OMXS306L2520;2026-12-18;;;;;;600;;100;"2,520.00"
OMXS306L2640;2026-12-18;;;;;;;;100;"2,640.00"
OMXS306L2820;2026-12-18;;;;;;;;100;"2,820.00"
OMXS306L3040;2026-12-18;;;;;;;;100;"3,040.00"
OMXS306L3080;2026-12-18;;;;;;;;100;"3,080.00"
OMXS306L3160;2026-12-18;;;;;;;;100;"3,160.00"
OMXS306L3280;2026-12-18;;;;;;;;100;"3,280.00"
OMXS306L3320;2026-12-18;;;;;;;;100;"3,320.00"
OMXS306L3480;2026-12-18;;;;;;;;100;"3,480.00"
OMXS306L3520;2026-12-18;;;;;;;;100;"3,520.00"
OMXS306L3560;2026-12-18;;;;;;;;100;"3,560.00"
OMXS306L3640;2026-12-18;;;;;;;;100;"3,640.00"
OMXS306L3660;2026-12-18;;;;;;;;100;"3,660.00"
OMXS306L3680;2026-12-18;;;;;;;;100;"3,680.00"
OMXS306L3780;2026-12-18;;;;;;;;100;"3,780.00"
